data,hora,BPM
6/01/2023,14:46:56,78
6/01/2023,14:47:11,86
6/01/2023,14:47:26,82
6/01/2023,14:47:41,70
6/01/2023,14:47:56,74
6/01/2023,14:48:11,62
6/01/2023,14:48:26,58
6/01/2023,14:48:41,66
6/01/2023,14:48:56,62
6/01/2023,14:49:11,58
6/01/2023,14:49:26,58
6/01/2023,14:49:41,58
6/01/2023,14:49:56,54
6/01/2023,14:50:11,70
6/01/2023,14:50:26,66
6/01/2023,14:50:41,70
6/01/2023,14:50:56,78
6/01/2023,14:50:11,66
6/01/2023,14:50:26,62
6/01/2023,14:50:41,66
6/01/2023,14:50:56,74
6/01/2023,14:51:11,69
6/01/2023,14:51:26,65
6/01/2023,14:51:41,71
6/01/2023,14:51:56,75
6/01/2023,14:52:11,74
6/01/2023,14:52:26,68
6/01/2023,14:52:41,64
6/01/2023,14:52:56,69
6/01/2023,14:53:11,70
6/01/2023,14:53:26,73
6/01/2023,14:53:41,66
6/01/2023,14:53:56,62
6/01/2023,14:54:11,52
6/01/2023,14:54:26,66
6/01/2023,14:54:41,68
6/01/2023,14:54:56,62
6/01/2023,14:55:11,65
6/01/2023,14:55:26,66
6/01/2023,14:55:41,68
6/01/2023,14:55:56,52
6/01/2023,14:56:11,72
6/01/2023,14:56:26,75
6/01/2023,14:56:41,78
6/01/2023,14:56:56,70
6/01/2023,14:57:11,72
6/01/2023,14:57:26,60
6/01/2023,14:57:41,44
6/01/2023,14:57:56,74
6/01/2023,14:58:11,76
6/01/2023,14:58:26,78
6/01/2023,14:58:41,70
6/01/2023,14:58:56,72
6/01/2023,14:59:11,92
6/01/2023,14:59:26,73
6/01/2023,14:59:41,84
6/01/2023,14:59:56,80
6/01/2023,15:01:11,100
6/01/2023,15:01:26,88
6/01/2023,15:01:41,68
6/01/2023,15:01:56,69
6/01/2023,15:02:11,73
6/01/2023,15:02:26,88
6/01/2023,15:02:41,100
6/01/2023,15:02:56,78
6/01/2023,15:03:11,64
6/01/2023,15:03:26,78
6/01/2023,15:03:41,70
6/01/2023,15:03:56,66
6/01/2023,15:04:11,76
6/01/2023,15:04:26,88
6/01/2023,15:04:41,58
6/01/2023,15:04:56,60
6/01/2023,15:05:11,72
6/01/2023,15:05:26,76
6/01/2023,15:05:41,84
6/01/2023,15:05:56,64
6/01/2023,15:06:11,70
6/01/2023,15:06:26,74
6/01/2023,15:06:41,82
6/01/2023,15:06:56,75
6/01/2023,15:07:11,68
6/01/2023,15:07:26,73
6/01/2023,15:07:41,71
6/01/2023,15:07:56,83
6/01/2023,15:08:11,69
6/01/2023,15:08:26,48
6/01/2023,15:08:41,75
6/01/2023,15:08:56,76
6/01/2023,15:09:11,73
6/01/2023,15:09:26,70
6/01/2023,15:09:41,71
6/01/2023,15:09:56,56
6/01/2023,15:10:11,56
6/01/2023,15:10:26,70
6/01/2023,15:10:41,73
6/01/2023,15:10:56,64
6/01/2023,15:11:11,96
6/01/2023,15:11:26,75
