data,hora,BPM
6/01/2023,15:33:04,70
6/01/2023,15:33:19,86
6/01/2023,15:33:34,84
6/01/2023,15:33:49,78
6/01/2023,15:34:04,88
6/01/2023,15:34:19,93
6/01/2023,15:34:34,84
6/01/2023,15:34:49,89
6/01/2023,15:35:04,79
6/01/2023,15:35:19,88
6/01/2023,15:35:34,94
6/01/2023,15:35:49,100
6/01/2023,15:36:04,95
6/01/2023,15:36:19,89
6/01/2023,15:36:34,110
6/01/2023,15:36:49,99
6/01/2023,15:37:04,101
6/01/2023,15:37:19,97
6/01/2023,15:37:34,94
6/01/2023,15:37:49,88
6/01/2023,15:38:04,97
6/01/2023,15:38:19,88
6/01/2023,15:38:34,74
6/01/2023,15:38:49,95
6/01/2023,15:39:04,105
6/01/2023,15:39:11,92
6/01/2023,14:52:26,98
6/01/2023,14:52:41,103
6/01/2023,14:52:56,99
6/01/2023,14:53:11,91
6/01/2023,14:53:26,89
6/01/2023,14:53:41,70
6/01/2023,14:53:56,94
6/01/2023,14:54:11,88
6/01/2023,14:54:26,105
6/01/2023,14:54:41,98
6/01/2023,14:54:56,85
6/01/2023,14:55:11,95
6/01/2023,14:55:26,92
6/01/2023,14:55:41,101
6/01/2023,14:55:56,99
6/01/2023,14:56:11,83
6/01/2023,14:56:26,96
6/01/2023,14:56:41,99
6/01/2023,14:56:56,110
6/01/2023,14:57:11,105
6/01/2023,14:57:26,115
6/01/2023,14:57:41,103
6/01/2023,14:57:56,99
6/01/2023,14:58:11,80
6/01/2023,14:58:26,95
6/01/2023,14:58:41,94
6/01/2023,14:58:56,105
6/01/2023,14:59:11,92
6/01/2023,14:59:26,95
6/01/2023,14:59:41,99
6/01/2023,14:59:56,103
6/01/2023,15:01:11,100
6/01/2023,15:01:26,99
6/01/2023,15:01:41,96
6/01/2023,15:01:56,110
6/01/2023,15:02:11,102
6/01/2023,15:02:26,88
6/01/2023,15:02:41,100
6/01/2023,15:02:56,95
6/01/2023,15:03:11,109
6/01/2023,15:03:26,95
6/01/2023,15:03:41,83
6/01/2023,15:03:56,99
6/01/2023,15:04:11,104
6/01/2023,15:04:26,98
6/01/2023,15:04:41,90
6/01/2023,15:04:56,89
6/01/2023,15:05:11,84
6/01/2023,15:05:26,99
6/01/2023,15:05:41,84
6/01/2023,15:05:56,93
6/01/2023,15:06:11,100
6/01/2023,15:06:26,99
6/01/2023,15:06:41,106
6/01/2023,15:06:56,89
6/01/2023,15:07:11,100
6/01/2023,15:07:26,96
6/01/2023,15:07:41,99
6/01/2023,15:07:56,103
6/01/2023,15:08:11,110
6/01/2023,15:08:26,99
6/01/2023,15:08:41,104
6/01/2023,15:08:56,107
6/01/2023,15:09:11,93
6/01/2023,15:09:26,98
6/01/2023,15:09:41,103
6/01/2023,15:09:56,100
6/01/2023,15:10:11,93
6/01/2023,15:10:26,105
6/01/2023,15:10:41,99
6/01/2023,15:10:56,109
6/01/2023,15:11:11,96
6/01/2023,15:11:26,80
