data,hora,BPM
2/01/2023,20:05:04,60
2/01/2023,20:05:19,70
2/01/2023,20:05:34,77
2/01/2023,20:05:49,63
2/01/2023,20:06:04,65
2/01/2023,20:06:19,72
2/01/2023,20:06:34,64
2/01/2023,20:06:49,68
2/01/2023,20:07:04,65
2/01/2023,20:07:19,65
2/01/2023,20:07:34,69
2/01/2023,20:07:49,74
2/01/2023,20:08:04,70
2/01/2023,20:08:19,69
2/01/2023,20:08:34,65
2/01/2023,20:08:49,70
2/01/2023,20:09:04,40
2/01/2023,20:09:19,68
2/01/2023,20:09:34,75
2/01/2023,20:09:49,70
2/01/2023,20:10:04,69
2/01/2023,20:11:19,60
2/01/2023,20:11:34,70
2/01/2023,20:11:49,65
2/01/2023,20:12:04,74
2/01/2023,20:12:11,77
2/01/2023,20:12:26,72
2/01/2023,20:12:41,67
2/01/2023,20:12:56,69
2/01/2023,20:13:11,66
2/01/2023,20:13:26,73
2/01/2023,20:13:41,68
2/01/2023,20:13:56,67
2/01/2023,20:14:11,70
2/01/2023,20:14:26,73
2/01/2023,20:14:41,69
2/01/2023,20:14:56,71
2/01/2023,20:15:11,74
2/01/2023,20:15:26,72
2/01/2023,20:15:41,69
2/01/2023,20:15:56,67
2/01/2023,20:16:11,69
2/01/2023,20:16:26,71
2/01/2023,20:16:41,69
2/01/2023,20:16:56,72
2/01/2023,20:17:11,66
2/01/2023,20:17:26,72
2/01/2023,20:17:41,73
2/01/2023,20:17:56,69
2/01/2023,20:18:11,66
2/01/2023,20:18:26,71
2/01/2023,20:18:41,66
2/01/2023,20:18:56,79
2/01/2023,20:19:11,73
2/01/2023,20:19:26,74
2/01/2023,20:19:41,69
2/01/2023,20:19:56,74
2/01/2023,20:20:11,69
2/01/2023,20:20:26,74
2/01/2023,20:20:41,69
2/01/2023,20:20:56,74
2/01/2023,20:21:11,70
2/01/2023,20:21:26,73
2/01/2023,20:21:41,77
2/01/2023,20:21:56,63
2/01/2023,20:22:11,69
2/01/2023,20:22:26,70
2/01/2023,20:22:41,67
2/01/2023,20:22:56,66
2/01/2023,20:23:11,73
2/01/2023,20:23:26,68
2/01/2023,20:23:41,67
2/01/2023,20:23:56,60
2/01/2023,20:24:11,68
2/01/2023,20:24:26,65
2/01/2023,20:24:41,64
2/01/2023,20:24:56,68
2/01/2023,20:25:11,69
2/01/2023,20:25:26,74
2/01/2023,20:25:41,71
2/01/2023,20:25:56,77
2/01/2023,20:26:11,63
2/01/2023,20:26:26,72
2/01/2023,20:26:41,69
2/01/2023,20:26:56,72
2/01/2023,20:27:11,66
2/01/2023,20:27:26,71
2/01/2023,20:27:41,74
2/01/2023,20:27:56,69
2/01/2023,20:28:11,61
2/01/2023,20:28:26,66
2/01/2023,20:28:41,68
2/01/2023,20:28:56,69
2/01/2023,20:29:11,62
2/01/2023,20:29:26,73
2/01/2023,20:29:41,74
2/01/2023,20:29:56,72
2/01/2023,20:30:11,54
2/01/2023,20:30:26,61
